127.0.0.1 - - [23/Nov/2016:19:04:05 -0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:06 -0200] "GET /pyrafilms/index.html HTTP/1.1" 200 5205
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:15 -0200] "GET /pyrafilms/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:16 -0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:19 -0200] "GET /pyrafilms/services/usuarios/ HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:19 -0200] "GET /pyrafilms/services/usuarios/ HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:34 -0200] "GET /pyrafilms/login.html HTTP/1.1" 200 5025
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:34 -0200] "GET /pyrafilms/js/jquery.1.8.3.min.js HTTP/1.1" 200 93637
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:34 -0200] "GET /pyrafilms/css/animate.css HTTP/1.1" 200 69747
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:34 -0200] "GET /pyrafilms/css/font-awesome.css HTTP/1.1" 200 26901
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:34 -0200] "GET /pyrafilms/css/style.css HTTP/1.1" 200 16593
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:34 -0200] "GET /pyrafilms/css/responsive.css HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:34 -0200] "GET /pyrafilms/js/jquery-scrolltofixed.js HTTP/1.1" 200 20511
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:34 -0200] "GET /pyrafilms/js/jquery.easing.1.3.js HTTP/1.1" 200 8301
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:34 -0200] "GET /pyrafilms/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:34 -0200] "GET /pyrafilms/js/jquery.isotope.js HTTP/1.1" 200 44242
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:34 -0200] "GET /pyrafilms/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:34 -0200] "GET /pyrafilms/js/wow.js HTTP/1.1" 200 11953
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:34 -0200] "GET /pyrafilms/js/classie.js HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:34 -0200] "GET /pyrafilms/contactform/contactform.js HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:35 -0200] "GET /pyrafilms/img/logos/pyra.png HTTP/1.1" 200 36585
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:35 -0200] "GET /pyrafilms/img/pyra.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:35 -0200] "GET /pyrafilms/contactform/contactform.js HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:35 -0200] "GET /pyrafilms/img/pyra.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:35 -0200] "GET /pyrafilms/img/pw_maze_black_2X.png HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:04:35 -0200] "GET /pyrafilms/favicon.ico HTTP/1.1" 200 5430
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/index2.html HTTP/1.1" 200 22952
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/contactform/contactform.js HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/acao.jpg HTTP/1.1" 200 93323
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/iphone.png HTTP/1.1" 200 120973
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/logos/deadpool.png HTTP/1.1" 200 298112
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/fonts/fontawesome-webfont.woff?v=4.1.0 HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/acao1.jpg HTTP/1.1" 200 133814
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/acao2.jpg HTTP/1.1" 200 382664
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/acao3.jpg HTTP/1.1" 200 190997
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/animacao.jpg HTTP/1.1" 200 512668
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/animacao1.jpg HTTP/1.1" 200 150712
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/animacao3.jpg HTTP/1.1" 200 62491
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/comedia.jpg HTTP/1.1" 200 98385
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/animacao2.jpg HTTP/1.1" 200 569362
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/comedia1.jpg HTTP/1.1" 200 116975
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/comedia2.jpg HTTP/1.1" 200 218453
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/drama.jpg HTTP/1.1" 200 61129
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/comedia3.jpg HTTP/1.1" 200 246764
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/drama1.jpg HTTP/1.1" 200 113942
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/drama2.jpg HTTP/1.1" 200 141634
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/drama3.jpg HTTP/1.1" 200 71721
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/romance.jpg HTTP/1.1" 200 74700
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/romance2.jpg HTTP/1.1" 200 187028
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/romance1.jpg HTTP/1.1" 200 341597
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/suspense.jpg HTTP/1.1" 200 191679
